,2107,2105,2024,2064,2019,2076,2087,2016,2070,2030,2078,2056,2054,15471,2023,2026,2021,2046,2063,2086,2079,2060,2049,2083,2061,2017,2094,2085,2039,2028,2051,2044,2068,2089,2013,2035,9341,2099,2034,2041,2058,2015,15030,2074,2067,2072,16382,16383,16384,11992
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833220699986548e-05,1.8971914493209635e-05,2.6019268394809032e-05,1.6198206407540605e-05,1.2521299454744078e-05,2.8348338896268487e-05,1.7509032661974767e-05,8.704921777412116e-05,4.904008108645642e-06,3.6741655417946767e-06,7.456843438811416e-06,6.461797815318741e-06,5.445902859693214e-06,1.589567469589972e-05,4.80401348810134e-06,2.6108486593575234e-06,2.877165923387717e-05,2.9012995134693184e-06,3.4597752712543687e-06,6.306651636903299e-07,1.3262980329603742e-06,4.828382286618872e-06,2.407060048843562e-06,1.9435194044586236e-06,5.170545720169694e-05,2.4314880651828377e-06,4.6347910464553674e-06,4.963157493231093e-06,3.249765140129899e-06,4.148534328667685e-06,1.3083960873674468e-06,6.178584506640139e-07,6.786827930627113e-06,8.345915144120467e-07,5.253607166180913e-06,2.0124574274211715e-06,1.1008820055064357e-06,3.711379392260102e-07,2.547362592552325e-07,3.034740086614907e-07
2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.513657578480762e-05,8.933236802592219e-05,5.561355969743394e-05,4.298957657384147e-05,9.732880282330514e-05,6.011404032595602e-05,0.0002988674639336844,1.6837009039463996e-05,1.2614570993596641e-05,2.560169918230607e-05,2.218539321660239e-05,1.869750490727073e-05,5.457487275997921e-05,1.6493695918298024e-05,8.963868228679438e-06,9.878219527148249e-05,9.96107776582902e-06,1.1878501467794573e-05,2.1652727374591706e-06,4.553600131820401e-06,1.6577361701842984e-05,8.264197550869136e-06,6.672716083718044e-06,0.00017752116860488142,8.348066647903346e-06,1.5912701817849827e-05,1.7040087562353906e-05,1.115747034431662e-05,1.4243228894577617e-05,4.492137097279178e-06,2.1213032459304413e-06,2.3301324281214043e-05,2.8654163209155783e-06,1.8037293044201298e-05,6.90940209443994e-06,3.779675699438052e-06,1.2742337898299552e-06,8.745900505747927e-07,1.0419221408031109e-06
2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.832682593214417e-05,3.631116567958738e-05,2.806872363432069e-05,6.354785242916214e-05,3.92496162774113e-05,0.00019513633110658193,1.0993207917401064e-05,8.23629668407182e-06,1.6715843145903994e-05,1.4485271094632248e-05,1.2207961550681548e-05,3.5632986946193344e-05,1.0769052159516582e-05,5.852682442058945e-06,6.449680038844301e-05,6.5037797808681065e-06,7.755702694970855e-06,1.413748329348561e-06,2.9731333459805665e-06,1.0823679163156349e-05,5.3958539627934614e-06,4.356745019864518e-06,0.0001159069946235297,5.4506137137314486e-06,1.0389709906385955e-05,1.1125801801531842e-05,7.28492756877523e-06,9.299678837626314e-06,2.9330029453635475e-06,1.385039800341731e-06,1.5213884008363459e-05,1.8708855778307655e-06,1.177689649255599e-05,4.511281880948782e-06,2.4678231583104044e-06,8.319718160241947e-07,5.710367112070575e-07,6.802910600537926e-07
2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011308054846170824,8.74118636453853e-05,0.00019790127559284098,0.00012223149690995225,0.0006076952621419807,3.423514385692473e-05,2.5649546878958003e-05,5.205662433473784e-05,4.511015742241389e-05,3.801814020326431e-05,0.0001109685583426363,3.353707604312618e-05,1.8226474643095364e-05,0.00020085649759380892,2.0254127647247965e-05,2.4152876891701536e-05,4.402707362254402e-06,9.258957764671122e-06,3.37071959337106e-05,1.68038154135871e-05,1.3567813291960759e-05,0.00036095857230893276,1.6974348706963997e-05,3.23557250940206e-05,3.464806888589472e-05,2.2686784892835807e-05,2.896114084455557e-05,9.133983321498363e-06,4.313303011144676e-06,4.737921010521786e-05,5.8263281635470285e-06,3.66757136442922e-05,1.404907333090197e-05,7.685316376530485e-06,2.5909338766721788e-06,1.778327500275331e-06,2.1185683451557437e-06
15471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.309473756771746e-05,7.492679491003353e-05,4.627769211230737e-05,0.00023007763915574471,1.2961662802824732e-05,9.711096266448213e-06,1.9708998860938404e-05,1.7079018330849005e-05,1.4393931445553197e-05,4.201346548926222e-05,1.2697369489094964e-05,6.900669656752497e-06,7.604566244697501e-05,7.668353141033953e-06,9.144446633457031e-06,1.6668955295630407e-06,3.5055055983644803e-06,1.2761778059043555e-05,6.362041009731847e-06,5.136868172572529e-06,0.00013666141785792656,6.426606096843629e-06,1.2250101829928798e-05,1.3117999081437242e-05,8.5893740388556e-06,1.0964888699783138e-05,3.4581894077813167e-06,1.6330464224282051e-06,1.7938097406995532e-05,2.2058882343274416e-06,1.3885679443818628e-05,5.319076559699508e-06,2.9097140593865487e-06,9.80945527618909e-07,6.732871200392724e-07,8.021046626650234e-07
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283512939276775e-05,3.2633023388873145e-05,0.00016224078248338954,9.140003014341707e-06,6.8478443312501406e-06,1.3897932058483775e-05,1.2043383738692687e-05,1.0149976804821154e-05,2.9626075531845536e-05,8.953634820622451e-06,4.866053254367102e-06,5.362410630227859e-05,5.407390385808572e-06,6.448267561479033e-06,1.1754225053192e-06,2.4719306637772226e-06,8.99905295349899e-06,4.486235669827969e-06,3.622296868528087e-06,9.636771069939004e-05,4.531764171826514e-06,8.638241046290876e-06,9.250244584386093e-06,6.056854417578245e-06,7.731964431762456e-06,2.438565336262066e-06,1.151553581559065e-06,1.2649169081590651e-05,1.5554968076055696e-06,9.791579514398911e-06,3.7507823285275486e-06,2.051804284545168e-06,6.917202843286376e-07,4.747729053200874e-07,5.65609455059899e-07
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001738787883132126,0.0008644688031823014,4.8700748023694673e-05,3.648742136719285e-05,7.405245776928156e-05,6.417085376125301e-05,5.408219910237547e-05,0.0001578568450298558,4.770772095054044e-05,2.5927828802568433e-05,0.0002857257360774706,2.881223958370644e-05,3.43583534062513e-05,6.263012732392742e-06,1.31712070772582e-05,4.7949722735600755e-05,2.3904043859545577e-05,1.93007121315386e-05,0.0005134768105685704,2.414663372524346e-05,4.602720588858003e-05,4.9288149025208934e-05,3.227278375552314e-05,4.1198285266271685e-05,1.2993426347263475e-05,6.135831763216364e-06,6.73986644408151e-05,8.2881655465533e-06,5.2172548076457755e-05,1.998532219154884e-05,1.0932644474928348e-05,3.6856984857781933e-06,2.529736105577892e-06,3.0137411888671317e-06
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002783571231065709,1.5681537683153282e-05,1.1748872375683861e-05,2.3844734509501003e-05,2.066287895470534e-05,1.7414353529006816e-05,5.082956965414534e-05,1.5361785069487383e-05,8.348705942093624e-06,9.200308166037984e-05,9.277480102525443e-06,1.1063317003038339e-05,2.0166768306166693e-06,4.241100773527098e-06,1.543970913155657e-05,7.697051478158686e-06,6.214788414649365e-06,0.00016533844511872284,7.775164900947205e-06,1.4820662779981358e-05,1.587067956113606e-05,1.0391767994123289e-05,1.3265760570453847e-05,4.183855755126259e-06,1.9757248279954957e-06,2.1702227154881032e-05,2.6687717461598846e-06,1.6799449944568423e-05,6.435231403514618e-06,3.5202883583368014e-06,1.1867871036673033e-06,8.145696663376126e-07,9.704182777130512e-07
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001888913001574232,0.0001415205462159951,0.0002872207429152153,0.0002488938361537593,0.00020976386027684926,0.0006122654354699216,0.00018503973354804884,0.0001005639849801365,0.001108219236177878,0.0001117514949208904,0.00013326271791590192,2.4291795628037898e-05,5.1086000327048174e-05,0.00018597836454809462,9.271450864477058e-05,7.485997148784432e-05,0.0019915772608214244,9.365542058136742e-05,0.00017852166785358784,0.0001911696006639333,0.0001251736026788375,0.00015979215892980225,5.03964578745318e-05,2.379851000927657e-05,0.00026141326102230224,3.214657740465733e-05,0.00020235706510900002,7.751530820409506e-05,4.240348480937805e-05,1.4295393956334405e-05,9.811864528349665e-06,1.1689132397435068e-05
2063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.691328588858006e-05,0.00019668879689588534,0.0001704425268558526,0.00014364631499567244,0.00041927943873838817,0.00012671523024451075,6.886622817014906e-05,0.0007589086569734552,7.652743622975373e-05,9.125832414440843e-05,1.6635024364970415e-05,3.498369874182799e-05,0.0001273580048583995,6.349090589712792e-05,5.1264116853673116e-05,0.0013638323311203236,6.413524249662214e-05,0.00012225165812740121,0.00013091296393156156,8.571889712468225e-05,0.00010942568832006875,3.4511499993166866e-05,1.629722231803103e-05,0.00017901583040708354,2.2013979804755817e-05,0.00013857414083571446,5.308249173416351e-05,2.9037911143525937e-05,9.789487381327903e-06,6.719165927219235e-06,8.00471917408451e-06
