stop_seq,StopID,ONSTREET,ATSTREET,Lat,Lon,cum_dist_m,spacing_real_m,placeholder_m
18.0,2046,Dufferin St,Ramsden Rd South Side,43.695717,-79.450479,3994.5370194728002,263.40856820095394,206.25448856058273
19.0,2063,Dufferin St,Hunter Ave,43.694512,-79.449837,4138.124531451943,143.5875119791422,259.74600236516017
20.0,2086,Dufferin St,Rowan Ave,43.692263,-79.448915,4398.957165571281,260.8326341193374,223.64526939932972
21.0,2079,Dufferin St,Preston Rd South Side,43.690529,-79.448215,4599.815448363286,200.8582827920054,167.642660065496
22.0,2060,Dufferin St,Holmesdale Rd,43.688777,-79.44751,4802.708240557562,202.89279219427576,172.5367362722351
23.0,2049,Dufferin St,Eversfield Rd South Side,43.687023,-79.446808,5005.747847212906,203.03960665534356,171.57415996701712
24.0,2083,Dufferin St,Rogers Rd,43.685674,-79.446257,5162.156066854485,156.40821964157954,185.39590575511778
25.0,2061,Dufferin St,Hope St,43.682439,-79.444935,5537.250572310031,375.094505455546,317.9402672389566
26.0,2017,Dufferin St,Ascot Ave,43.680238,-79.444056,5791.993697097294,254.74312478726245,211.93913332821415
27.0,2094,Dufferin St,St Clair Ave West,43.678395,-79.443316,6005.391416660164,213.39771956287018,187.06305338041867
28.0,2085,Dufferin St,Auburn Ave,43.675622,-79.442182,6326.938804080857,321.5473874206924,456.6502778417966
29.0,2039,Dufferin St,Davenport Rd,43.673079,-79.441106,6622.652818156784,295.71401407592674,273.00691244239624
30.0,2028,Dufferin St,Chandos Ave,43.67138,-79.440351,6821.091949432376,198.43913127559205,210.75202626449163
31.0,2051,Dufferin St,Geary Ave,43.669816,-79.439678,7003.229978791538,182.13802935916158,151.81458950761711
32.0,2044,Dufferin St,Dupont St South Side,43.668082,-79.43895,7204.7370231617915,201.5070443702536,320.8333333333333
33.0,2068,Dufferin St,Lappin Ave South Side,43.666082,-79.438076,7437.973577108029,233.23655394623674,200.07945661924902
34.0,2089,Dufferin St,Shanly St,43.663251,-79.436864,7767.517067553803,329.54349044577407,256.75537096856897
35.0,2013,Dufferin St,Bloor St West - Dufferin Station,43.659958,-79.435506,8149.629723317626,382.1126557638229,354.40237050719617
36.0,2035,Dufferin St,Croatia St South Side,43.658039,-79.434742,8371.68756071493,222.05783739730478,326.04803549776847
37.0,9341,Dufferin St,Dufferin Park Ave,43.657218,-79.43441,8466.805346089996,95.11778537506586,134.11875083768933
38.0,2099,Dufferin St,Sylvan Ave,43.654788,-79.433476,8747.262086341134,280.456740251139,303.6136950904393
39.0,2034,Dufferin St,College St,43.652658,-79.432662,8992.994352467555,245.73226612642148,264.1450602908451
40.0,2041,Dufferin St,Dundas St West,43.649807,-79.431591,9321.513047400244,328.5186949326889,314.5839817408445
41.0,2058,Dufferin St,Gordon St,43.646893,-79.43048,9657.639406169113,336.12635876886935,307.79025049371165
42.0,2015,Dufferin St,Alma Ave,43.644682,-79.429661,9912.170139478174,254.53073330906003,191.6177736055699
43.0,15030,Dufferin St,Queen St West,43.64236,-79.428744,10180.701378009895,268.53123853172127,233.07232532038734
44.0,2074,Dufferin St,Melbourne Ave,43.640638,-79.428104,10378.983855228831,198.28247721893678,291.7439727463312
45.0,2067,Dufferin St,King St West,43.63907,-79.427505,10559.877834538625,180.89397930979354,220.35594376245933
46.0,2072,Dufferin St,Liberty St,43.637414,-79.426893,10750.488983939598,190.6111494009729,260.98625239860155
47.0,16382,Liberty St,Atlantic Ave East Side,43.63833,-79.420123,11304.734174093808,554.2451901542105,778.5919196748746
48.0,16383,East Liberty St,Lynn Williams St East Side,43.638546,-79.416824,11571.298111185417,266.56393709160903,320.71767640196316
49.0,16384,East Liberty St,Pirandello St,43.638583,-79.414086,11791.670513830193,220.37240264477708,220.61396425495266
50.0,11992,Strachan Ave,Fleet St,43.636507,-79.409869,12202.099272136336,410.4287583061435,902.0807479109786
