stop_id,stop_seq,stop_name,total_boardings,total_alightings,lambda_pax_sec,lambda_pax_min,cum_dist_m
2055,38,Dufferin St at Glengrove Ave,1740.0,2336.0,0.0007644615294913781,0.04586769176948268,9632.446185082228
15469,39,Dufferin St at Wenderly Dr,2434.0,2406.0,0.0010713860764908127,0.06428316458944876,9810.228315317934
2029,40,Dufferin St at Claver Ave North Side,180.0,723.0,7.949411378870472e-05,0.004769646827322283,10056.42597871712
2069,41,Dufferin St at Lawrence Ave West North Side,12218.0,18862.0,0.005174168701614511,0.3104501220968707,10260.747544608881
2037,42,Dufferin St at Dane Ave,482.0,787.0,0.00020632230873255007,0.012379338523953004,10439.809275571624
2027,43,Dufferin St at Celt Ave North Side,1823.0,2347.0,0.000783399444701784,0.04700396668210704,10657.08069089156
2091,44,Dufferin St at Orfus Rd,6318.0,6395.0,0.002732032474776647,0.16392194848659883,10924.920452919061
982,45,Dufferin St at Ranee Ave North Side,2514.0,2097.0,0.001091914119158881,0.06551484714953286,11144.203118722893
985,46,Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre,4244.0,9055.0,0.0018584554406820112,0.11150732644092068,11453.549776852671
979,47,Dufferin St at Yorkdale Rd,376.0,365.0,0.00016503850899078664,0.009902310539447198,11617.180882276314
2104,48,Dufferin St at Billy Bishop Way North Side,673.0,3179.0,0.00030049206287041636,0.01802952377222498,12046.521955181488
2108,49,Dufferin St at Wilson Ave,844.0,17270.0,0.00037072046585446525,0.022243227951267916,12213.658465554188
